,song_name_api_opus,song_name_opus,artist_name_opus,catalog_name_opus,owned_catalog_opus,input_parameter,country_code,song_id_luminate_opus,isrc_opus,album_name_opus,release_date_opus,metric_luminate,start_week_id,end_week_id
0,Hotel in Sydney,Hotel in Sydney,Hopsin,Hopsin,No,isrc,G1,,TCAEP2021865,No Shame,2017-11-24 00:00:00,StreamingOnDemand,201840,202335
1,Right Here,Right Here,Hopsin,Hopsin,No,isrc,G1,,TCAEP2021877,No Shame,2017-11-24 00:00:00,StreamingOnDemand,201840,202335
2,Twisted,Twisted,Hopsin,Hopsin,No,isrc,G1,,TCAEP2021881,No Shame,2017-11-24 00:00:00,StreamingOnDemand,201840,202335
3,Cute in a Suit (Skit),Cute in a Suit (Skit),Hopsin,Hopsin,No,isrc,G1,,TCAEP2021882,No Shame,2017-11-24 00:00:00,StreamingOnDemand,201840,202335
4,All Your Fault (Remix),All Your Fault (Remix),Hopsin,Hopsin,No,isrc,G1,,TCAEP2021884,No Shame,2017-11-24 00:00:00,StreamingOnDemand,201840,202335
5,Money on the Side,Money on the Side,Hopsin,Hopsin,No,isrc,G1,,TCAEP2021886,No Shame,2017-11-24 00:00:00,StreamingOnDemand,201840,202335
6,I Wouldn't Do That,I Wouldn't Do That,Hopsin,Hopsin,No,isrc,G1,,TCAEP2021890,No Shame,2017-11-24 00:00:00,StreamingOnDemand,201840,202335
7,Black Sheep,Black Sheep,Hopsin,Hopsin,No,isrc,G1,,TCAEP2021892,No Shame,2017-11-24 00:00:00,StreamingOnDemand,201840,202335
8,I Must Be On Something,I Must Be On Something,Hopsin,Hopsin,No,isrc,G1,,Not Found,No Shame,2017-11-24 00:00:00,StreamingOnDemand,201840,202335
9,Tell'em Who You Got It From,Tell'em Who You Got It From,Hopsin,Hopsin,No,isrc,G1,,TCAEP2021898,No Shame,2017-11-24 00:00:00,StreamingOnDemand,201840,202335
10,The Purge,The Purge,Hopsin,Hopsin,No,isrc,G1,,TCAEP2021901,No Shame,2017-09-22 00:00:00,StreamingOnDemand,201840,202335
11,Happy Ending,Happy Ending,Hopsin,Hopsin,No,isrc,G1,,TCAEP2021902,No Shame,2017-10-12 00:00:00,StreamingOnDemand,201840,202335
12,No Words 2 (Skit),No Words 2 (Skit),Hopsin,Hopsin,No,isrc,G1,,TCAEP2021903,No Shame,2017-11-24 00:00:00,StreamingOnDemand,201840,202335
